"~|Ardougne Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Ardougne Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Ardougne Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Ardougne Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Desert Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Desert Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Desert Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Desert Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Falador Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Falador Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Falador Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Falador Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Fremennik Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Fremennik Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Fremennik Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Fremennik Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Kandarin Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Kandarin Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Kandarin Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Kandarin Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Karamja Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Karamja Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Karamja Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Karamja Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Kourend and Kebos Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Kourend and Kebos Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Kourend and Kebos Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Kourend and Kebos Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Lumbridge and Draynor Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Lumbridge and Draynor Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Lumbridge and Draynor Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Lumbridge and Draynor Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Morytania Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Morytania Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Morytania Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Morytania Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Varrock Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Varrock Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Varrock Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Varrock Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Western Provinces Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Western Provinces Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Western Provinces Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Western Provinces Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Wilderness Diary#Easy|~ Complete the Easy Diary","quest","","","","","ManualTask"
"~|Wilderness Diary#Medium|~ Complete the Medium Diary","quest","","","","","ManualTask"
"~|Wilderness Diary#Hard|~ Complete the Hard Diary","quest","","","","","ManualTask"
"~|Wilderness Diary#Elite|~ Complete the Elite Diary","quest","","","","","ManualTask"
"~|Fossil Island Diary#Museum Camp|~ Complete the Museum Camp Section","quest","","","","","ManualTask"
"~|Fossil Island Diary#Northern Reaches|~ Complete the Northern Reaches Section","quest","","","","","ManualTask"
"~|Fossil Island Diary#Southern Swamps|~ Complete the Southern Swamps Section","quest","","","","","ManualTask"
"~|Fossil Island Diary#Mountainous East|~ Complete the Mountainous East Section","quest","","","","","ManualTask"
"~|Combat Achievements#Easy|~ Complete the Easy Diary by reaching the point threshold","quest","","","","","ManualTask"
"~|Combat Achievements#Medium|~ Complete the Medium Diary by reaching the point threshold","quest","","","","","ManualTask"
"~|Combat Achievements#Hard|~ Complete the Hard Diary by reaching the point threshold","quest","","","","","ManualTask"
"~|Combat Achievements#Elite|~ Complete the Elite Diary by reaching the point threshold","quest","","","","","ManualTask"
"~|Combat Achievements#Master|~ Hard Mode? Completed It","quest","","","","","ManualTask"
"~|Combat Achievements#Master|~ Complete the Master Diary by reaching the point threshold","quest","","","","","ManualTask"
"~|Combat Achievements#Grandmaster|~ Complete the Grandmaster Diary by reaching the point threshold","quest","","","","","ManualTask"
"Quest: Below Ice Mountain","quest","","","","","QuestTask"
"Quest: Black Knights' Fortress","quest","","","","","QuestTask"
"Quest: Cook's Assistant","quest","","","","","QuestTask"
